Human	Chimp	Bonobo	Gorilla	Orangutan	Gibbon	Rhesus	Crab_eating_macaque	Baboon	Green_monkey
Human	0	0.01339	0.01561	0.017734	0.037403	0.044204	0.071575	0.071575	0.071626	0.070974
Chimp	0.01339	0	0.0159	0.018024	0.037693	0.044494	0.071865	0.071865	0.071916	0.071264
Bonobo	0.01561	0.0159	0	0.017804	0.037473	0.044274	0.071645	0.071645	0.071696	0.071044
Gorilla	0.017734	0.018024	0.017804	0	0.037597	0.044398	0.071769	0.071769	0.07182	0.071168
Orangutan	0.037403	0.037693	0.037473	0.037597	0	0.044681	0.072052	0.072052	0.072103	0.071451
Gibbon	0.044204	0.044494	0.044274	0.044398	0.044681	0	0.071911	0.071911	0.071962	0.07131
Rhesus	0.071575	0.071865	0.071645	0.071769	0.072052	0.071911	0	0.009982	0.016033	0.054601
Crab_eating_macaque	0.071575	0.071865	0.071645	0.071769	0.072052	0.071911	0.009982	0	0.016033	0.054601
Baboon	0.071626	0.071916	0.071696	0.07182	0.072103	0.071962	0.016033	0.016033	0	0.054652
Green_monkey	0.070974	0.071264	0.071044	0.071168	0.071451	0.07131	0.054601	0.054601	0.054652	0
